ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
kapampangan,,515,kpm,pam,{},15.3333333333,120.5,Papunesia,,Kapampangan,1869,False,False
napu,,526,npu,npy,{},-1.33333333333,120.416666667,Papunesia,,Napu,724,False,False
konjo,,525,kjo,kjc,{},-5.46666666667,120.333333333,Papunesia,,Konjo,1122,False,False
pangasinan,,514,pnn,pag,{},15.9166666667,120.333333333,Papunesia,,Pangasinan,1775,False,False
manggarai,,75,mng,mqy,{},-8.5,120.333333333,Papunesia,,Manggarai,1935,False,False
siraya,,539,sry,fos,{},23.0,120.25,Papunesia,,Siraya,217,False,False
kambera,,75,kam,xbr,{},-9.83333333333,120.166666667,Papunesia,,Kambera,2096,False,False
kaili,,526,kli,lew,{},-1.16666666667,120.0,Papunesia,,Kaili,544,False,False
lauje,,526,lje,law,{},-0.5,120.0,Papunesia,,Lauje,554,False,False
uma,,526,uma,ppk,{},-1.83333333333,120.0,Papunesia,,Uma,1281,False,False
bugis,,525,bug,bug,{},-4.0,120.0,Papunesia,,Bugis,1298,False,False
toraja,,525,trd,sda,{},-3.0,119.75,Papunesia,,Toraja,613,False,False
mamasa,,525,mms,mqj,{},-3.08333333333,119.666666667,Papunesia,,Mamasa,556,False,False
daa,,526,daa,kzf,{},-1.0,119.583333333,Papunesia,,Da'a,521,False,False
makassar,,525,mks,mak,{},-5.41666666667,119.583333333,Papunesia,,Makassar,988,False,False
aralletabulahan,,525,atb,atq,{},-2.75,119.25,Papunesia,,Aralle-Tabulahan,507,False,False
batak,,513,bat,bya,{},10.25,119.083333333,Papunesia,,Batak,31,False,False
mandar,,525,mnr,mdr,{},-3.41666666667,119.083333333,Papunesia,,Mandar,165,False,False
bambam,,525,bbm,ptu,{},-3.08333333333,119.083333333,Papunesia,,Bambam,643,False,False
begakidaan,,518,beg,dbj,{},5.25,118.833333333,Papunesia,,Begak-Ida'an,657,False,False
samasouthern,,76,bjs,ssb,{},4.5,118.5,Papunesia,,Sama (Southern),26,False,False
tagbanwaaborlan,,513,tgb,tbw,{},9.5,118.5,Papunesia,,Tagbanwa (Aborlan),222,False,False
