ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
mundari,,66,mun,unr,{},23.0,84.6666666667,Eurasia,,Mundari,2433,False,True
kharia,,66,khr,khr,{},22.5,84.3333333333,Eurasia,,Kharia,1602,False,False
sora,,66,sor,srb,{},20.0,84.3333333333,Eurasia,,Sora,1709,False,False
gurung,,389,gur,"ggn, gvr",{},28.3333333333,84.3333333333,Eurasia,,Gurung,1831,False,False
narphu,,389,nph,npa,{},28.6666666667,84.25,Eurasia,,Nar-Phu,1732,False,False
darai,,182,dar,dry,{},24.0,84.0,Eurasia,,Darai,1227,False,False
bhojpuri,,182,bho,bho,{},26.0,84.0,Eurasia,,Bhojpuri,1790,False,False
manange,,389,nmm,nmm,{},28.5833333333,84.0,Eurasia,,Manange,2609,False,False
baragaunle,,389,brl,loy,{},28.8333333333,83.8333333333,Eurasia,,Baragaunle,30,False,False
magarsyangja,,512,msy,mrd,{},28.0833333333,83.8333333333,Eurasia,,Magar (Syangja),157,False,False
pengo,,147,pen,peg,{},19.8333333333,83.8333333333,Eurasia,,Pengo,429,False,False
thakali,,389,thk,ths,{},29.0,83.75,Eurasia,,Thakali,1625,False,False
tangbe,,389,tbx,skj,{},28.9166666667,83.75,Eurasia,,Tangbe,2610,False,False
gutob,,66,gdb,gbj,{},19.0,83.6666666667,Eurasia,,Gutob,795,False,False
kuiinindia,,147,kui,kxu,{},20.0,83.5,Eurasia,,Kui (in India),1080,False,False
gadabakondekor,,148,gdk,gdb,{},18.75,83.5,Eurasia,,Gadaba (Kondekor),2552,False,False
chantyal,,389,chn,chx,{},28.5833333333,83.4166666667,Eurasia,,Chantyal,1828,False,False
oriyakotia,,182,oko,ort,{},18.3333333333,83.0,Eurasia,,Oriya (Kotia),426,False,False
konda,,147,kda,kfc,{},19.5,83.0,Eurasia,,Konda,549,False,False
magar,,512,mag,mgp,{},28.0,83.0,Eurasia,,Magar,1314,False,False
kalmyk,,20,kmk,xal,{},44.0,83.0,Eurasia,,Kalmyk,2043,False,False
kham,,512,kmh,kgj,{},28.5,82.75,Eurasia,,Kham,2060,False,False
raji,,547,rji,rji,{},28.0,82.75,Eurasia,,Raji,2607,False,False
kuvi,,147,kuv,kxv,{},18.75,82.6666666667,Eurasia,,Kuvi,1805,False,False
parjidravidian,,148,prd,pci,{},19.5,82.5,Eurasia,,Parji (Dravidian),831,False,False
remo,,66,rem,bfw,{},18.0,82.0,Eurasia,,Remo,2083,False,False
selkup,,463,skp,sel,{},65.0,82.0,Eurasia,,Selkup,2166,False,False
awadhi,,182,awd,awa,{},27.5,81.5,Eurasia,,Awadhi,638,False,False
koya,,147,koy,kff,{},17.5,81.3333333333,Eurasia,,Koya,2078,False,False
tibetandrokpa,,389,tdr,bod,{},32.25,81.25,Eurasia,,Tibetan (Drokpa),2612,False,False
vedda,,182,ved,ved,{},7.0,81.0,Eurasia,,Vedda,482,False,False
halbi,,182,hlb,hlb,{},21.0,81.0,Eurasia,,Halbi,683,False,False
gondi,,147,gon,"ggo, gno",{},19.0,81.0,Eurasia,,Gondi,1718,False,False
