ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
ugandansignlanguage,,330,ugs,ugn,{},1.0,32.5,Africa,,Ugandan Sign Language,480,False,False
ronga,,274,rga,rng,{},-26.0,32.5,Africa,,Ronga,1091,False,False
tennet,,322,ten,tex,{},4.41666666667,32.5,Africa,,Tennet,1882,False,False
pari,,320,par,lkr,{},5.0,32.5,Africa,,Päri,2007,False,False
luganda,,274,lda,lug,{},0.5,32.1666666667,Africa,,Luganda,2026,False,False
nubi,,331,nub,kcn,{},0.666666666667,32.0833333333,Africa,,Nubi,574,False,False
sukuma,,274,skm,suk,{},-2.83333333333,32.0,Africa,,Sukuma,837,False,False
tsonga,,274,tsn,tso,{},-24.0,32.0,Africa,,Tsonga,843,False,False
nuer,,320,nue,nus,{},8.33333333333,32.0,Africa,,Nuer,1909,False,False
coptic,,8,cop,cop,{},26.0,32.0,Africa,,Coptic,2187,False,False
shilluk,,320,shl,shk,{},9.66666666667,31.75,Africa,,Shilluk,1913,False,False
kuku,,320,kuk,bfa,{},5.83333333333,31.6666666667,Africa,,Kukú,1124,False,False
bari,,320,bar,bfa,{},5.0,31.6666666667,Africa,,Bari,2146,False,False
haya,,274,hya,hay,{},-2.0,31.5,Africa,,Haya,1596,False,False
madi,,304,mad,mhi,{},3.25,31.5,Africa,,Ma'di,2045,False,False
nyambo,,274,nbo,now,{},-1.0,31.3333333333,Africa,,Nyambo,730,False,False
runyororutooro,,274,rru,nyo,{},1.5,31.3333333333,Africa,,Runyoro-Rutooro,1092,False,False
lafofa,,280,laf,laf,{},10.25,31.25,Africa,,Lafofa,709,False,False
mambwe,,274,mmw,mgr,{},-9.08333333333,31.1666666667,Africa,,Mambwe,884,False,False
rashad,,282,ras,ras,{},11.8333333333,31.05,Africa,,Rashad,1368,False,False
zulunorthern,,274,zno,zul,{},-28.0,31.0,Africa,,Zulu (Northern),265,False,False
karanga,,274,krg,sna,{},-20.0,31.0,Africa,,Karanga,350,False,False
ghulfan,,307,nbh,ghl,{},12.0,31.0,Africa,,Ghulfan,822,False,False
nobiin,,307,nob,fia,{},21.0,31.0,Africa,,Nobiin,1415,False,False
swati,,274,swt,ssw,{},-26.5,31.0,Africa,,Swati,1532,False,False
shona,,274,shn,sna,{},-18.0,31.0,Africa,,Shona,2105,False,False
arabicegyptian,,10,aeg,arz,{},30.0,31.0,Africa,,Arabic (Egyptian),2518,True,True
lugbara,,304,lug,lgg,{},3.08333333333,30.9166666667,Africa,,Lugbara,2314,False,False
nsenga,,274,nse,nse,{},-14.5,30.8333333333,Africa,,Nsenga,1322,False,False
orig,,282,ori,ras,{},12.1666666667,30.8333333333,Africa,,Orig,1523,False,False
nubiandongolese,,307,nbd,kzh,{},18.25,30.75,Africa,,Nubian (Dongolese),2394,False,True
otoro,,285,otr,otr,{},11.1666666667,30.5,Africa,,Otoro,580,False,False
jomang,,281,jom,tlo,{},10.5833333333,30.5,Africa,,Jomang,1241,False,False
lendu,,299,ldu,led,{},2.0,30.5,Africa,,Lendu,1725,False,False
runyankore,,274,rny,nyn,{},-0.5,30.5,Africa,,Runyankore,1735,False,False
ngiti,,299,nti,niy,{},1.33333333333,30.25,Africa,,Ngiti,2377,False,True
moro,,285,mro,mor,{},11.0,30.1666666667,Africa,,Moro,2177,False,False
zulusouthern,,274,zso,zul,{},-31.0,30.0,Africa,,Zulu (Southern),266,False,False
logoti,,304,lgt,log,{},3.5,30.0,Africa,,Logoti,379,False,False
mundu,,287,mdu,muh,{},4.5,30.0,Africa,,Mündü,722,False,False
rundi,,274,rnd,run,{},-3.5,30.0,Africa,,Rundi,742,False,False
